,motorSpeed
2787.425134,-4
2787.425134,-15
2787.425134,-15
2787.425134,-15
2787.425134,-13
2787.425134,-5
2787.425134,-27
2787.425134,-27
2787.425134,-28
2787.425134,-1
2787.425134,-7
2787.425134,-7
2787.425134,-18
2787.425134,-1
2787.425134,2
2787.425134,-11
2787.425134,-8
2787.425134,-18
2787.425134,5
2787.425134,11
2787.425134,5
2787.425134,-13
2787.425134,-14
2787.425134,-15
2787.425134,-21
2787.425134,-20
2787.425134,-13
2787.425134,-17
2787.425134,-21
2787.425134,-32
2787.425134,-30
2787.425134,-10
2787.425134,-4
2787.425134,-8
2787.425134,-1
2787.425134,1
2787.425134,-5
2787.425134,3
2787.425134,-1
2787.425134,-1
2787.425134,-18
2787.425134,-3
2787.425134,0
2787.425134,9
2787.425134,-35
2787.425134,-35
2787.425134,-23
2787.425134,-28
2787.425134,2
2787.425134,38
2787.425134,32
2787.425134,86
2787.425134,113
2523.195313,190
5968.903984,296
12443.14697,316
13866.9631,170
4964.251109,-17
4964.251109,1
4964.251109,42
4964.251109,276
11081.18528,389
19567.9959,161
4536.38971,-78
4536.38971,79
4536.38971,-59
4536.38971,-8
4536.38971,13
4536.38971,-37
4536.38971,-31
4536.38971,15
4536.38971,63
4536.38971,-74
4536.38971,-50
4536.38971,28
4536.38971,38
4536.38971,-23
4536.38971,96
4536.38971,2
4536.38971,-98
4536.38971,13
4536.38971,-86
4536.38971,12
4536.38971,-59
4536.38971,15
4536.38971,-92
4536.38971,-8
4536.38971,89
4536.38971,-135
-2371.70665,62
-2371.70665,-105
-1563.898602,12
-1563.898602,56
-1563.898602,-159
-3110.376399,-1
-3110.376399,50
-3110.376399,-81
-3110.376399,23
-3110.376399,43
-3110.376399,-75
-3110.376399,-98
-3110.376399,82
-3110.376399,-92
-3110.376399,-45
-3110.376399,65
-3110.376399,48
-3110.376399,-75
-3110.376399,56
-3110.376399,11
-3110.376399,-77
-3110.376399,11
-3110.376399,65
-3110.376399,-47
-3110.376399,-18
-3110.376399,103
2164.069339,-129
-2199.606872,131
3223.431323,-20
3223.431323,99
3223.431323,-88
3223.431323,-126
-2115.494554,120
2787.425134,-24
2787.425134,144
3770.56587,-176
-3680.547281,143
3727.277236,-64
3727.277236,86
